quote_id,text,author,tags
a2c0033e67d59bb2065e01573176c0b087b14cdae6bd9b0690c3acdb284b590e,The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,Albert Einstein,change|deep-thoughts|thinking|world
9bcc958514e6beff7de71c4267a5399319f088a70ce27da177c8563b97ef70df,"It is our choices, Harry, that show what we truly are, far more than our abilities.",J.K. Rowling,abilities|choices
af111b1aedf1f6d2db4894fd2c098bdf7fb2f1f8bccdacf743bb787e0a2f4cac,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,inspirational|life|live|miracle|miracles
04d5bc6be92b9f0973cf4d3e4000ef791c9aeee6c4303a8578e2fe1fbf30b766,"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Jane Austen,aliteracy|books|classic|humor
a1472a06e80ebad27261729529b0011e6661bebd03add1a276bd37a9aced3a86,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,be-yourself|inspirational
5acf345058223fdd2c1e3590dff126a44fe9c645be44c5bd18c9cbff5d4e6de9,Try not to become a man of success. Rather become a man of value.,Albert Einstein,adulthood|success|value
862f827f025b7be79432ae4e9c6cf05accbae0a3c69d0d794fe7e1786a86d52b,It is better to be hated for what you are than to be loved for what you are not.,André Gide,life|love
764855561f47319ee96f10ffd397c9175a22b6be7d3cbb8cdb17a097aba0b882,"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,edison|failure|inspirational|paraphrased
8ff48cb5354247611f1269f28777e847ff3b58f56f2204a5709f8a812a5a6092,A woman is like a tea bag; you never know how strong it is until it's in hot water.,Eleanor Roosevelt,misattributed-eleanor-roosevelt
67195a85d5953f81fc2bac89e2677a8732cca693c9bca3de8a2521a9120e404e,"A day without sunshine is like, you know, night.",Steve Martin,humor|obvious|simile
80715ef6d3b827e3c668739552cdc1df4b7073a0c084ba1b475cb3882a41e7d5,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",Marilyn Monroe,friends|heartbreak|inspirational|life|love|sisters
5dfa73cda9a64fffa41b3661ae769f80bbf33ad61984a09e91cb98a6b323147d,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",J.K. Rowling,courage|friends
8c613572b5784a7a71c3dca08b8740c979186ce11a4b3e4f8208ab318a184387,"If you can't explain it to a six year old, you don't understand it yourself.",Albert Einstein,simplicity|understand
945de21e350d91bed91a6898fabc9898ee034a230c5242d98236f137aad3ba0b,"You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.",Bob Marley,love
a57a8b3320996ecc552fd98a341e7a74bab96ec35f80d9f3c9c0a6eee05efc4f,"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",Dr. Seuss,fantasy
538fc77832ac2871e461b147f2929ec70ed5aae8d741ee24c3e49eeb80327f17,"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",Douglas Adams,life|navigation
